inst#,actual,predicted,error,distribution,,
302,2:neutral,2:neutral,,0.137,*0.851,0.012
303,2:neutral,2:neutral,,0.029,*0.749,0.222
304,2:neutral,3:negative,+,0.034,0.403,*0.563
305,2:neutral,1:positive,+,*0.677,0.315,0.008
306,2:neutral,2:neutral,,0.011,*0.768,0.221
307,2:neutral,1:positive,+,*0.929,0.069,0.002
308,2:neutral,1:positive,+,*0.501,0.498,0
309,2:neutral,2:neutral,,0.031,*0.969,0
310,2:neutral,2:neutral,,0.022,*0.977,0.001
311,2:neutral,2:neutral,,0.004,*0.974,0.022
312,2:neutral,2:neutral,,0.007,*0.986,0.006
313,2:neutral,2:neutral,,0.048,*0.92,0.032
314,2:neutral,2:neutral,,0.069,*0.918,0.014
315,2:neutral,2:neutral,,0.009,*0.988,0.003
316,2:neutral,1:positive,+,*0.714,0.262,0.024
317,2:neutral,2:neutral,,0.458,*0.542,0.001
318,2:neutral,1:positive,+,*0.594,0.393,0.014
319,2:neutral,2:neutral,,0.092,*0.903,0.005
320,2:neutral,2:neutral,,0.021,*0.971,0.008
321,2:neutral,2:neutral,,0.014,*0.964,0.023
322,2:neutral,2:neutral,,0.053,*0.944,0.003
323,2:neutral,2:neutral,,0.044,*0.946,0.01
324,2:neutral,2:neutral,,0.035,*0.964,0.001
325,2:neutral,2:neutral,,0.12,*0.857,0.023
326,2:neutral,2:neutral,,0.017,*0.974,0.009
327,2:neutral,2:neutral,,0.252,*0.71,0.037
328,2:neutral,2:neutral,,0.03,*0.962,0.008
329,2:neutral,1:positive,+,*0.627,0.37,0.003
330,2:neutral,2:neutral,,0.065,*0.917,0.018
331,2:neutral,2:neutral,,0.215,*0.782,0.003
332,2:neutral,2:neutral,,0.031,*0.968,0
333,2:neutral,1:positive,+,*0.619,0.376,0.004
334,2:neutral,2:neutral,,0.138,*0.859,0.003
335,2:neutral,2:neutral,,0.117,*0.878,0.005
336,2:neutral,2:neutral,,0.062,*0.928,0.01
337,2:neutral,3:negative,+,0.015,0.449,*0.536
338,2:neutral,2:neutral,,0.453,*0.546,0.002
339,2:neutral,2:neutral,,0.354,*0.614,0.032
340,2:neutral,2:neutral,,0.245,*0.755,0.001
341,2:neutral,2:neutral,,0.215,*0.785,0
342,2:neutral,1:positive,+,*0.76,0.233,0.007
343,2:neutral,1:positive,+,*0.919,0.079,0.002
344,2:neutral,3:negative,+,0.001,0.468,*0.531
345,2:neutral,1:positive,+,*0.688,0.31,0.002
346,2:neutral,3:negative,+,0.008,0.191,*0.8
347,2:neutral,2:neutral,,0.068,*0.573,0.359
348,2:neutral,2:neutral,,0.036,*0.804,0.16
349,2:neutral,2:neutral,,0.416,*0.584,0
350,2:neutral,2:neutral,,0.142,*0.813,0.045
351,2:neutral,2:neutral,,0.004,*0.953,0.044
352,2:neutral,2:neutral,,0.092,*0.894,0.014
353,2:neutral,2:neutral,,0.368,*0.63,0.001
354,2:neutral,2:neutral,,0.04,*0.959,0.001
355,2:neutral,2:neutral,,0.05,*0.941,0.009
356,2:neutral,1:positive,+,*0.72,0.279,0.001
357,2:neutral,3:negative,+,0.378,0.011,*0.611
358,2:neutral,2:neutral,,0.043,*0.841,0.116
359,2:neutral,3:negative,+,0.029,0.073,*0.898
360,2:neutral,2:neutral,,0.418,*0.551,0.031
361,2:neutral,2:neutral,,0.103,*0.895,0.002
362,2:neutral,3:negative,+,0.009,0.343,*0.648
363,2:neutral,2:neutral,,0.008,*0.54,0.452
364,2:neutral,2:neutral,,0.184,*0.816,0
365,2:neutral,2:neutral,,0.042,*0.942,0.016
366,2:neutral,1:positive,+,*0.601,0.396,0.004
367,2:neutral,1:positive,+,*0.552,0.447,0.001
368,2:neutral,2:neutral,,0.041,*0.89,0.069
369,2:neutral,2:neutral,,0.145,*0.843,0.011
370,2:neutral,2:neutral,,0.077,*0.896,0.026
371,2:neutral,2:neutral,,0.064,*0.932,0.004
372,2:neutral,2:neutral,,0.158,*0.823,0.02
373,2:neutral,2:neutral,,0.165,*0.643,0.193
374,2:neutral,2:neutral,,0.025,*0.564,0.411
375,2:neutral,1:positive,+,*0.861,0.059,0.08
376,2:neutral,2:neutral,,0.447,*0.553,0
377,2:neutral,2:neutral,,0.425,*0.568,0.007
378,2:neutral,2:neutral,,0.078,*0.911,0.011
379,2:neutral,2:neutral,,0.001,*0.974,0.025
380,2:neutral,2:neutral,,0.056,*0.907,0.037
381,2:neutral,2:neutral,,0.162,*0.754,0.084
382,2:neutral,2:neutral,,0.038,*0.791,0.17
383,2:neutral,2:neutral,,0.036,*0.91,0.054
384,2:neutral,2:neutral,,0.045,*0.954,0.001
385,2:neutral,2:neutral,,0.069,*0.878,0.053
386,2:neutral,2:neutral,,0.124,*0.855,0.021
387,2:neutral,2:neutral,,0.433,*0.563,0.003
388,2:neutral,2:neutral,,0.034,*0.952,0.014
389,2:neutral,2:neutral,,0.349,*0.62,0.031
390,2:neutral,2:neutral,,0.035,*0.544,0.421
391,2:neutral,2:neutral,,0.123,*0.844,0.033
392,2:neutral,2:neutral,,0.076,*0.819,0.105
393,2:neutral,3:negative,+,0,0.498,*0.502
394,2:neutral,2:neutral,,0.116,*0.884,0
395,2:neutral,2:neutral,,0.001,*0.955,0.043
396,2:neutral,2:neutral,,0.064,*0.919,0.017
397,2:neutral,2:neutral,,0.002,*0.994,0.004
398,2:neutral,2:neutral,,0.064,*0.931,0.005
399,2:neutral,2:neutral,,0.121,*0.852,0.027
400,2:neutral,2:neutral,,0.023,*0.952,0.025
401,2:neutral,2:neutral,,0.018,*0.929,0.053
402,2:neutral,2:neutral,,0.01,*0.979,0.012
403,2:neutral,2:neutral,,0.311,*0.644,0.045
404,2:neutral,2:neutral,,0.14,*0.856,0.004
405,2:neutral,2:neutral,,0.014,*0.98,0.006
406,2:neutral,2:neutral,,0.007,*0.692,0.302
407,2:neutral,2:neutral,,0.052,*0.927,0.022
408,2:neutral,2:neutral,,0.121,*0.878,0
409,2:neutral,2:neutral,,0.023,*0.832,0.145
410,2:neutral,2:neutral,,0.008,*0.791,0.2
411,2:neutral,2:neutral,,0.022,*0.962,0.016
412,2:neutral,2:neutral,,0.26,*0.738,0.002
413,2:neutral,2:neutral,,0.478,*0.512,0.011
414,2:neutral,2:neutral,,0.039,*0.958,0.003
415,2:neutral,2:neutral,,0.121,*0.833,0.047
416,2:neutral,2:neutral,,0.033,*0.956,0.011
417,2:neutral,2:neutral,,0.412,*0.539,0.049
418,2:neutral,2:neutral,,0.355,*0.644,0.001
419,2:neutral,2:neutral,,0.034,*0.965,0.001
420,2:neutral,2:neutral,,0.364,*0.625,0.011
421,2:neutral,2:neutral,,0.018,*0.927,0.055
422,2:neutral,2:neutral,,0.003,*0.643,0.354
423,2:neutral,1:positive,+,*0.965,0.013,0.021
424,2:neutral,2:neutral,,0.202,*0.777,0.021
425,2:neutral,1:positive,+,*0.763,0.236,0.001
426,2:neutral,2:neutral,,0.095,*0.859,0.045
427,2:neutral,2:neutral,,0.171,*0.825,0.005
428,2:neutral,2:neutral,,0.191,*0.599,0.21
429,2:neutral,1:positive,+,*0.647,0.347,0.006
430,2:neutral,2:neutral,,0.292,*0.703,0.005
431,2:neutral,2:neutral,,0.124,*0.866,0.01
432,2:neutral,2:neutral,,0.009,*0.876,0.115
433,2:neutral,1:positive,+,*0.538,0.462,0
434,2:neutral,2:neutral,,0.141,*0.772,0.087
435,2:neutral,3:negative,+,0.006,0.34,*0.654
436,2:neutral,2:neutral,,0.195,*0.802,0.003
437,2:neutral,2:neutral,,0.196,*0.686,0.119
438,2:neutral,2:neutral,,0.091,*0.905,0.004
439,2:neutral,2:neutral,,0.172,*0.79,0.038
440,2:neutral,1:positive,+,*0.545,0.444,0.011
441,2:neutral,2:neutral,,0.047,*0.946,0.006
442,2:neutral,2:neutral,,0.212,*0.786,0.003
443,2:neutral,2:neutral,,0.183,*0.815,0.002
444,2:neutral,2:neutral,,0.153,*0.789,0.058
445,2:neutral,3:negative,+,0.005,0.439,*0.556
446,2:neutral,2:neutral,,0.306,*0.692,0.001
447,2:neutral,1:positive,+,*0.507,0.489,0.004
448,2:neutral,2:neutral,,0.304,*0.677,0.019
449,2:neutral,2:neutral,,0.229,*0.767,0.004
450,2:neutral,2:neutral,,0.159,*0.837,0.004
451,2:neutral,2:neutral,,0.139,*0.86,0.001
452,2:neutral,2:neutral,,0.048,*0.945,0.007
453,2:neutral,2:neutral,,0.257,*0.554,0.189
454,2:neutral,2:neutral,,0.423,*0.567,0.01
455,2:neutral,2:neutral,,0.032,*0.957,0.011
456,2:neutral,1:positive,+,*0.919,0.079,0.002
457,2:neutral,2:neutral,,0.122,*0.878,0
458,2:neutral,1:positive,+,*0.726,0.236,0.038
459,2:neutral,3:negative,+,0.009,0.302,*0.689
460,2:neutral,2:neutral,,0.041,*0.959,0
461,2:neutral,2:neutral,,0.23,*0.77,0.001
462,2:neutral,2:neutral,,0.032,*0.96,0.008
463,2:neutral,2:neutral,,0.061,*0.917,0.021
464,2:neutral,2:neutral,,0.491,*0.492,0.017
465,2:neutral,2:neutral,,0.011,*0.762,0.228
466,2:neutral,1:positive,+,*0.905,0.094,0
467,2:neutral,2:neutral,,0.346,*0.653,0.001
468,2:neutral,2:neutral,,0.024,*0.519,0.457
469,2:neutral,2:neutral,,0.051,*0.898,0.052
470,2:neutral,3:negative,+,0.016,0.447,*0.538
471,2:neutral,2:neutral,,0.039,*0.96,0.002
472,2:neutral,2:neutral,,0.055,*0.739,0.206
473,2:neutral,1:positive,+,*0.728,0.249,0.023
474,2:neutral,2:neutral,,0.065,*0.935,0.001
475,2:neutral,2:neutral,,0.134,*0.864,0.002
476,2:neutral,3:negative,+,0.019,0.366,*0.616
477,2:neutral,2:neutral,,0.037,*0.779,0.184
478,2:neutral,2:neutral,,0.323,*0.659,0.018
479,2:neutral,2:neutral,,0.014,*0.986,0
480,2:neutral,3:negative,+,0.004,0.479,*0.517
481,2:neutral,2:neutral,,0.076,*0.924,0.001
482,2:neutral,1:positive,+,*0.577,0.321,0.103
483,2:neutral,2:neutral,,0.036,*0.519,0.445
484,2:neutral,2:neutral,,0.03,*0.969,0
485,2:neutral,2:neutral,,0.18,*0.819,0.001
486,2:neutral,1:positive,+,*0.961,0.027,0.011
487,2:neutral,2:neutral,,0.231,*0.748,0.021
488,2:neutral,2:neutral,,0.005,*0.94,0.055
489,2:neutral,2:neutral,,0.178,*0.82,0.002
490,2:neutral,2:neutral,,0.05,*0.593,0.357
491,2:neutral,2:neutral,,0.006,*0.971,0.023
492,2:neutral,2:neutral,,0.008,*0.681,0.311
493,2:neutral,3:negative,+,0.142,0.177,*0.681
494,2:neutral,2:neutral,,0.014,*0.596,0.39
495,2:neutral,2:neutral,,0.019,*0.941,0.041
496,2:neutral,2:neutral,,0.01,*0.813,0.176
497,2:neutral,2:neutral,,0.048,*0.871,0.081
498,2:neutral,2:neutral,,0.048,*0.698,0.254
499,2:neutral,1:positive,+,*0.788,0.197,0.015
500,2:neutral,2:neutral,,0.023,*0.887,0.09
1,1:positive,1:positive,,*0.978,0.021,0.001
2,1:positive,1:positive,,*0.657,0.019,0.324
3,1:positive,1:positive,,*0.696,0.278,0.025
4,1:positive,2:neutral,+,0.207,*0.78,0.013
5,1:positive,2:neutral,+,0.414,*0.586,0
6,1:positive,1:positive,,*0.721,0.279,0
7,1:positive,2:neutral,+,0.033,*0.964,0.003
8,1:positive,1:positive,,*0.732,0.267,0.001
9,1:positive,1:positive,,*0.985,0.014,0.001
10,1:positive,1:positive,,*0.832,0.167,0.001
11,1:positive,2:neutral,+,0.033,*0.574,0.394
12,1:positive,1:positive,,*0.937,0.053,0.011
13,1:positive,2:neutral,+,0.41,*0.582,0.008
14,1:positive,1:positive,,*0.901,0.093,0.005
15,1:positive,1:positive,,*0.936,0.06,0.004
16,1:positive,1:positive,,*0.997,0.003,0
17,1:positive,1:positive,,*0.919,0.08,0.001
18,1:positive,1:positive,,*0.591,0.408,0.001
19,1:positive,1:positive,,*0.987,0.013,0
20,1:positive,1:positive,,*0.759,0.19,0.051
21,1:positive,2:neutral,+,0.172,*0.613,0.215
22,1:positive,1:positive,,*0.95,0.047,0.003
23,1:positive,2:neutral,+,0.487,*0.513,0
24,1:positive,1:positive,,*0.992,0.008,0
25,1:positive,1:positive,,*0.862,0.123,0.014
26,1:positive,1:positive,,*0.949,0.004,0.048
27,1:positive,1:positive,,*0.828,0.008,0.163
28,1:positive,1:positive,,*0.658,0.328,0.014
29,1:positive,1:positive,,*0.994,0.006,0
30,1:positive,2:neutral,+,0.022,*0.978,0
31,1:positive,2:neutral,+,0.342,*0.657,0.001
32,1:positive,1:positive,,*0.553,0,0.447
33,1:positive,1:positive,,*0.675,0,0.325
34,1:positive,1:positive,,*0.992,0.008,0
35,1:positive,1:positive,,*1,0,0
36,1:positive,1:positive,,*0.788,0.212,0
37,1:positive,2:neutral,+,0.088,*0.873,0.039
38,1:positive,2:neutral,+,0.015,*0.98,0.005
39,1:positive,3:negative,+,0.031,0.064,*0.905
40,1:positive,3:negative,+,0.364,0,*0.636
41,1:positive,1:positive,,*0.926,0.021,0.053
42,1:positive,1:positive,,*0.651,0.288,0.061
43,1:positive,1:positive,,*0.712,0.001,0.287
44,1:positive,1:positive,,*0.986,0,0.013
45,1:positive,2:neutral,+,0.091,*0.883,0.026
46,1:positive,2:neutral,+,0.04,*0.958,0.002
47,1:positive,1:positive,,*0.974,0.01,0.016
48,1:positive,1:positive,,*0.941,0.056,0.004
49,1:positive,2:neutral,+,0.237,*0.752,0.011
50,1:positive,1:positive,,*0.895,0.104,0.001
51,1:positive,1:positive,,*0.635,0.361,0.005
52,1:positive,1:positive,,*0.447,0.411,0.142
53,1:positive,1:positive,,*0.932,0.038,0.03
54,1:positive,1:positive,,*0.934,0.048,0.018
55,1:positive,1:positive,,*0.95,0.049,0.001
56,1:positive,2:neutral,+,0.165,*0.501,0.334
57,1:positive,1:positive,,*0.522,0.466,0.012
58,1:positive,1:positive,,*0.841,0.159,0
59,1:positive,1:positive,,*0.744,0.255,0.001
60,1:positive,2:neutral,+,0.322,*0.664,0.015
61,1:positive,1:positive,,*1,0,0
62,1:positive,1:positive,,*0.883,0.116,0.001
63,1:positive,1:positive,,*0.947,0.001,0.053
64,1:positive,1:positive,,*0.548,0.445,0.007
65,1:positive,2:neutral,+,0.104,*0.81,0.086
66,1:positive,1:positive,,*0.786,0.211,0.003
67,1:positive,1:positive,,*0.65,0.332,0.018
68,1:positive,1:positive,,*0.998,0,0.002
69,1:positive,1:positive,,*0.963,0.023,0.014
70,1:positive,1:positive,,*0.808,0.095,0.097
71,1:positive,1:positive,,*0.53,0.403,0.067
72,1:positive,2:neutral,+,0.378,*0.608,0.014
73,1:positive,1:positive,,*0.968,0.019,0.013
74,1:positive,1:positive,,*0.895,0.069,0.036
75,1:positive,1:positive,,*0.725,0.275,0
76,1:positive,1:positive,,*0.975,0.011,0.014
77,1:positive,1:positive,,*0.996,0.003,0
78,1:positive,3:negative,+,0.205,0.007,*0.788
79,1:positive,1:positive,,*0.526,0.447,0.027
80,1:positive,2:neutral,+,0.411,*0.571,0.018
81,1:positive,1:positive,,*0.906,0.092,0.002
82,1:positive,1:positive,,*0.648,0.263,0.088
83,1:positive,1:positive,,*0.683,0.317,0
84,1:positive,1:positive,,*0.608,0.363,0.029
85,1:positive,1:positive,,*0.934,0.06,0.005
86,1:positive,1:positive,,*0.959,0.038,0.003
87,1:positive,1:positive,,*0.92,0.08,0.001
88,1:positive,1:positive,,*0.925,0.068,0.008
89,1:positive,1:positive,,*0.99,0.006,0.004
90,1:positive,1:positive,,*0.998,0.002,0
91,1:positive,1:positive,,*0.846,0.153,0.001
92,1:positive,1:positive,,*0.59,0.273,0.137
93,1:positive,1:positive,,*0.587,0.361,0.052
94,1:positive,1:positive,,*0.809,0.18,0.011
95,1:positive,2:neutral,+,0.039,*0.804,0.157
96,1:positive,2:neutral,+,0.438,*0.483,0.079
97,1:positive,2:neutral,+,0.476,*0.517,0.008
98,1:positive,2:neutral,+,0.425,*0.574,0.001
99,1:positive,2:neutral,+,0.139,*0.86,0.001
100,1:positive,1:positive,,*0.806,0.001,0.193
101,1:positive,2:neutral,+,0.087,*0.912,0.002
102,1:positive,1:positive,,*0.983,0.01,0.007
103,1:positive,1:positive,,*0.632,0.023,0.345
104,1:positive,3:negative,+,0.114,0.418,*0.469
105,1:positive,2:neutral,+,0.178,*0.769,0.052
106,1:positive,1:positive,,*0.952,0.047,0.001
107,1:positive,1:positive,,*0.633,0.366,0.001
108,1:positive,1:positive,,*0.968,0.032,0
109,1:positive,1:positive,,*0.878,0.096,0.026
110,1:positive,1:positive,,*0.812,0.186,0.001
111,1:positive,1:positive,,*0.695,0.304,0.001
112,1:positive,1:positive,,*0.976,0.023,0.001
113,1:positive,1:positive,,*0.997,0.002,0.002
114,1:positive,1:positive,,*0.456,0.415,0.129
115,1:positive,1:positive,,*1,0,0
116,1:positive,1:positive,,*0.931,0.058,0.011
117,1:positive,2:neutral,+,0.351,*0.648,0.001
118,1:positive,1:positive,,*0.67,0.329,0
119,1:positive,1:positive,,*0.959,0.031,0.01
120,1:positive,1:positive,,*0.867,0.02,0.113
121,1:positive,1:positive,,*1,0,0
122,1:positive,2:neutral,+,0.284,*0.691,0.025
123,1:positive,1:positive,,*0.994,0.002,0.004
124,1:positive,2:neutral,+,0.278,*0.721,0.001
125,1:positive,1:positive,,*0.93,0.062,0.008
126,1:positive,1:positive,,*0.998,0.001,0.001
127,1:positive,1:positive,,*0.996,0.004,0
128,1:positive,2:neutral,+,0.027,*0.964,0.009
129,1:positive,1:positive,,*0.718,0.279,0.003
130,1:positive,2:neutral,+,0.314,*0.683,0.003
131,1:positive,2:neutral,+,0.042,*0.907,0.051
132,1:positive,3:negative,+,0.008,0.312,*0.68
133,1:positive,1:positive,,*0.806,0.193,0
134,1:positive,1:positive,,*0.661,0.338,0
135,1:positive,2:neutral,+,0.068,*0.925,0.007
136,1:positive,3:negative,+,0.066,0.208,*0.727
137,1:positive,1:positive,,*0.778,0.217,0.004
138,1:positive,2:neutral,+,0.3,*0.637,0.063
139,1:positive,2:neutral,+,0.284,*0.711,0.006
140,1:positive,2:neutral,+,0.231,*0.641,0.128
141,1:positive,1:positive,,*0.98,0.017,0.003
142,1:positive,1:positive,,*0.924,0.072,0.004
143,1:positive,1:positive,,*0.933,0,0.067
144,1:positive,2:neutral,+,0.187,*0.803,0.01
145,1:positive,1:positive,,*0.66,0.34,0
146,1:positive,1:positive,,*0.768,0.049,0.183
147,1:positive,1:positive,,*0.996,0.004,0
148,1:positive,2:neutral,+,0.038,*0.698,0.264
149,1:positive,1:positive,,*0.59,0.01,0.4
150,1:positive,1:positive,,*0.591,0.409,0
151,1:positive,1:positive,,*0.958,0.041,0
152,1:positive,1:positive,,*0.72,0.28,0
153,1:positive,3:negative,+,0.207,0.004,*0.789
154,1:positive,1:positive,,*0.997,0.001,0.002
155,1:positive,3:negative,+,0.167,0.098,*0.735
156,1:positive,1:positive,,*0.873,0,0.126
157,1:positive,1:positive,,*0.811,0.177,0.012
158,1:positive,1:positive,,*0.993,0.002,0.004
159,1:positive,1:positive,,*0.974,0.026,0.001
160,1:positive,1:positive,,*0.541,0.458,0.001
161,1:positive,1:positive,,*0.888,0.051,0.061
162,1:positive,1:positive,,*0.933,0.067,0
163,1:positive,1:positive,,*0.965,0.001,0.033
164,1:positive,1:positive,,*0.972,0,0.027
165,1:positive,2:neutral,+,0.464,*0.492,0.044
166,1:positive,1:positive,,*0.541,0.445,0.014
167,1:positive,1:positive,,*0.934,0.066,0
168,1:positive,1:positive,,*0.557,0.432,0.011
169,1:positive,2:neutral,+,0.187,*0.802,0.011
170,1:positive,1:positive,,*0.998,0.002,0
171,1:positive,1:positive,,*0.903,0.069,0.028
172,1:positive,1:positive,,*0.947,0.053,0
173,1:positive,1:positive,,*0.711,0.284,0.005
174,1:positive,1:positive,,*0.716,0.263,0.021
175,1:positive,2:neutral,+,0.158,*0.828,0.014
176,3:negative,3:negative,,0.002,0.473,*0.524
177,3:negative,3:negative,,0.003,0.253,*0.744
178,3:negative,1:positive,+,*0.746,0.197,0.056
179,3:negative,3:negative,,0.227,0.005,*0.768
180,3:negative,3:negative,,0.089,0.029,*0.882
181,3:negative,3:negative,,0.023,0.372,*0.606
182,3:negative,1:positive,+,*0.518,0.021,0.461
183,3:negative,3:negative,,0.004,0.424,*0.572
184,3:negative,3:negative,,0.067,0.04,*0.893
185,3:negative,1:positive,+,*0.581,0.004,0.415
186,3:negative,3:negative,,0.002,0.446,*0.551
187,3:negative,2:neutral,+,0.013,*0.97,0.018
188,3:negative,2:neutral,+,0.021,*0.543,0.436
189,3:negative,3:negative,,0.011,0.232,*0.757
190,3:negative,3:negative,,0.052,0.107,*0.841
191,3:negative,2:neutral,+,0.247,*0.742,0.011
192,3:negative,3:negative,,0.008,0.126,*0.866
193,3:negative,3:negative,,0.078,0.398,*0.524
194,3:negative,3:negative,,0.063,0.044,*0.893
195,3:negative,3:negative,,0.028,0.432,*0.541
196,3:negative,3:negative,,0.034,0.201,*0.765
197,3:negative,1:positive,+,*0.796,0.192,0.012
198,3:negative,3:negative,,0.018,0.455,*0.527
199,3:negative,2:neutral,+,0.207,*0.512,0.281
200,3:negative,2:neutral,+,0.079,*0.465,0.456
201,3:negative,3:negative,,0.004,0.252,*0.744
202,3:negative,3:negative,,0.08,0.129,*0.791
203,3:negative,2:neutral,+,0.012,*0.968,0.02
204,3:negative,3:negative,,0.004,0.022,*0.974
205,3:negative,3:negative,,0.048,0.402,*0.55
206,3:negative,3:negative,,0.008,0.086,*0.906
207,3:negative,1:positive,+,*0.478,0.046,0.476
208,3:negative,1:positive,+,*0.714,0.282,0.004
209,3:negative,2:neutral,+,0.122,*0.875,0.004
210,3:negative,2:neutral,+,0.019,*0.772,0.209
211,3:negative,1:positive,+,*0.878,0.02,0.102
212,3:negative,3:negative,,0.005,0.339,*0.657
213,3:negative,3:negative,,0.065,0.06,*0.876
214,3:negative,2:neutral,+,0.004,*0.8,0.196
215,3:negative,2:neutral,+,0.156,*0.732,0.113
216,3:negative,2:neutral,+,0.293,*0.569,0.139
217,3:negative,2:neutral,+,0.019,*0.54,0.441
218,3:negative,3:negative,,0.009,0.19,*0.801
219,3:negative,3:negative,,0.199,0.097,*0.704
220,3:negative,3:negative,,0.002,0.315,*0.683
221,3:negative,1:positive,+,*0.626,0.138,0.236
222,3:negative,2:neutral,+,0.12,*0.453,0.427
223,3:negative,2:neutral,+,0.053,*0.901,0.046
224,3:negative,3:negative,,0.193,0.252,*0.556
225,3:negative,2:neutral,+,0.006,*0.571,0.422
226,3:negative,3:negative,,0.052,0.079,*0.869
227,3:negative,2:neutral,+,0.217,*0.67,0.113
228,3:negative,2:neutral,+,0.007,*0.916,0.078
229,3:negative,3:negative,,0.015,0.237,*0.748
230,3:negative,1:positive,+,*0.913,0.027,0.06
231,3:negative,3:negative,,0.109,0.192,*0.699
232,3:negative,3:negative,,0.01,0.002,*0.989
233,3:negative,3:negative,,0.168,0.113,*0.719
234,3:negative,3:negative,,0.402,0.06,*0.537
235,3:negative,3:negative,,0.002,0.075,*0.923
236,3:negative,3:negative,,0.413,0.049,*0.538
237,3:negative,2:neutral,+,0.05,*0.707,0.243
238,3:negative,2:neutral,+,0.077,*0.801,0.123
239,3:negative,2:neutral,+,0.002,*0.55,0.448
240,3:negative,3:negative,,0.009,0.489,*0.501
241,3:negative,3:negative,,0.006,0.127,*0.867
242,3:negative,2:neutral,+,0.04,*0.623,0.337
243,3:negative,1:positive,+,*0.583,0.356,0.061
244,3:negative,3:negative,,0.005,0.349,*0.646
245,3:negative,2:neutral,+,0.113,*0.735,0.151
246,3:negative,3:negative,,0.008,0.446,*0.546
247,3:negative,3:negative,,0.011,0.434,*0.554
248,3:negative,2:neutral,+,0.015,*0.724,0.261
249,3:negative,1:positive,+,*0.689,0.003,0.308
250,3:negative,2:neutral,+,0.07,*0.844,0.086
251,3:negative,1:positive,+,*0.69,0.251,0.059
252,2:neutral,2:neutral,,0.409,*0.573,0.018
253,2:neutral,2:neutral,,0.427,*0.561,0.012
254,2:neutral,2:neutral,,0.128,*0.858,0.014
255,2:neutral,2:neutral,,0.004,*0.578,0.418
256,2:neutral,2:neutral,,0.011,*0.988,0.001
257,2:neutral,2:neutral,,0.009,*0.876,0.115
258,2:neutral,2:neutral,,0.088,*0.887,0.025
259,2:neutral,1:positive,+,*0.756,0.23,0.014
260,2:neutral,2:neutral,,0.035,*0.959,0.006
261,2:neutral,2:neutral,,0.156,*0.812,0.032
262,2:neutral,2:neutral,,0.259,*0.737,0.005
263,2:neutral,2:neutral,,0.297,*0.505,0.198
264,2:neutral,2:neutral,,0.002,*0.961,0.036
265,2:neutral,2:neutral,,0.109,*0.89,0.001
266,2:neutral,2:neutral,,0.166,*0.761,0.073
267,2:neutral,2:neutral,,0.383,*0.523,0.094
268,2:neutral,2:neutral,,0.411,*0.58,0.009
269,2:neutral,2:neutral,,0.107,*0.891,0.001
270,2:neutral,2:neutral,,0.004,*0.975,0.021
271,2:neutral,2:neutral,,0.302,*0.66,0.038
272,2:neutral,2:neutral,,0.053,*0.929,0.017
273,2:neutral,2:neutral,,0.136,*0.861,0.003
274,2:neutral,2:neutral,,0.279,*0.448,0.273
275,2:neutral,2:neutral,,0.026,*0.969,0.006
276,2:neutral,2:neutral,,0.103,*0.844,0.053
277,2:neutral,2:neutral,,0.223,*0.772,0.005
278,2:neutral,2:neutral,,0.022,*0.707,0.272
279,2:neutral,2:neutral,,0.052,*0.947,0.001
280,2:neutral,2:neutral,,0.021,*0.933,0.046
281,2:neutral,2:neutral,,0.33,*0.651,0.02
282,2:neutral,2:neutral,,0.024,*0.966,0.01
283,2:neutral,1:positive,+,*0.424,0.329,0.247
284,2:neutral,2:neutral,,0.109,*0.855,0.036
285,2:neutral,2:neutral,,0.01,*0.986,0.003
286,2:neutral,2:neutral,,0.034,*0.914,0.052
287,2:neutral,2:neutral,,0.377,*0.607,0.016
288,2:neutral,2:neutral,,0.087,*0.913,0
289,2:neutral,2:neutral,,0.069,*0.919,0.013
290,2:neutral,2:neutral,,0.101,*0.692,0.207
291,2:neutral,2:neutral,,0.011,*0.959,0.029
292,2:neutral,2:neutral,,0.195,*0.686,0.119
293,2:neutral,2:neutral,,0.027,*0.871,0.102
294,2:neutral,1:positive,+,*0.543,0.457,0
295,2:neutral,2:neutral,,0.102,*0.898,0.001
296,2:neutral,2:neutral,,0.023,*0.869,0.108
297,2:neutral,2:neutral,,0.182,*0.812,0.007
298,2:neutral,2:neutral,,0.112,*0.887,0.001
299,2:neutral,2:neutral,,0.409,*0.539,0.052
300,2:neutral,2:neutral,,0.028,*0.963,0.009
301,2:neutral,2:neutral,,0.34,*0.623,0.037
302,2:neutral,2:neutral,,0.058,*0.559,0.383
303,2:neutral,2:neutral,,0.021,*0.635,0.344
304,2:neutral,2:neutral,,0.016,*0.933,0.051
305,2:neutral,2:neutral,,0.003,*0.983,0.014
306,2:neutral,2:neutral,,0.127,*0.811,0.062
307,2:neutral,3:negative,+,0.012,0.464,*0.524
308,2:neutral,2:neutral,,0.346,*0.632,0.022
309,2:neutral,1:positive,+,*0.493,0.485,0.022
310,2:neutral,2:neutral,,0.337,*0.663,0
311,2:neutral,2:neutral,,0.234,*0.748,0.018
312,2:neutral,2:neutral,,0.103,*0.863,0.034
313,2:neutral,2:neutral,,0.098,*0.862,0.04
314,2:neutral,2:neutral,,0.015,*0.984,0
315,2:neutral,1:positive,+,*0.773,0.222,0.005
316,2:neutral,2:neutral,,0.007,*0.893,0.1
317,2:neutral,2:neutral,,0.171,*0.776,0.053
