content,Class,cluster
'@50ShadesOfDreyy leggo watch Breaking Dawn on the 17th after the fair! :)',positive,cluster10
'Milk Chocolate Day is tomorrow. Are you ready to celebrate!?',neutral,cluster2
'Aboud el Zomour, the guy who killed Sadat, is now attending the October 6 celebrations at Cairo stadium.\\\"\" Shame!!!!',negative,cluster8
'Shout out to all the girls who will be taking the walk of shame into cvs tomorrow to by a plan b #dressinglikeaslutcomeswithaprice',neutral,cluster10
'AUSTRALIA DAY #T20 International to kick-start the ultimate Australia Day long weekend @ANZStadium Sat 26 Jan: http://t.co/Z8xTr8r7',neutral,cluster2
'ugh why everyone going to Athens Saturday night. go Friday!',negative,cluster10
'Just did Spartacus 2.0 and sauna...imma be sore tomorrow but so worth it',positive,cluster10
'@RaysGameDay   Twilight Zone inning?   Ground Hog Day inning.  May go on 4ever. . . .  just keeping hittin\' him #Rays!',positive,cluster2
'#WhenOnAPlaneYouShould do a Temple Run game in the 1st class.',neutral,cluster10
'The storm will be moving inland to CNY tomorrow. That\'s when I\'ll get worried about my family. Living right on Oneida Lake.',negative,cluster10
'Cannot wait to play San Fran on Sunday. If we can beat them at home for the NFC Championship we can beat them now.',positive,cluster1
'Why every time twitter email me saying we found pple you may know its a bunch of niggas....where they hoes at @Twitter ?',neutral,cluster6
'Championship: Team news: Bellamy in frame for Cardiff: All the team news from Saturday\'s Championship... http://t.co/Twzk98l4 #Mogganaut',neutral,cluster1
'Omg, Bullet For My Valentine are coming to the Netherlands march 21th. I might attend that one too :P',neutral,cluster3
'January Jones in Jason Wu: Usually I adore January\'s red carpet looks but this isn\'t for me. Nude with black mesh =meh http://t.co/mv5Nl3h3',negative,cluster8
'@Shinybiscuit @Ingredientsrec Was cult viewing from my 6th form days with Vic\'s big night out. Channel 4 had all comedy/sport bases covered!',positive,cluster9
'and if you\'re from Maryland, early voting has been extended until tomorrow at 9pm. PLEASE GO VOTE!',neutral,cluster10
'@RefriedBrean And then both teams took dumps in the 2nd round of the Big Dance, KU flaming out against UCLA, Mizzou losing to Northern Iowa.',negative,cluster1
'C\'mon Cam and the Panthers! U r the missing link in my quinfecta weekend.  Hard to do...App win, UNC win, State loss, Dook loss, Panther win',neutral,cluster1
'Free hugging day?tapos may Free Kissing Day? o.O  kailan na ang MalanDay? @EmmieIsMahName @annabananaftw',neutral,cluster2
'Cupid did so much work da 1st time that he don\'t wanna be my friend no more',negative,cluster10
'I need a nice can because I want to play Penny Can on Saturday. This is a real problem. Cougar Town just made me love this game. Haha.',positive,cluster10
'I will not be able to handle Harry\'s voice in Kiss You..and I may not survive after hearing all the songs on Take Me Home in their entirety.',negative,cluster7
'LMAO Blake asked Xtina \\\"\"Are you bringing your Grammy awards to the show tomorrow\\\"\" and she said \\\"\"No, there wouldn\'t be enough room\\\"\" LMFAO!!!',neutral,cluster10
'Was ready to tune in and watch my Thursday Night comedy on channel 4 and then the tv guide tells me \\\"\"The Voice\\\"\" is on...dammit.',neutral,cluster10
'Incredible pass from Vick to Kyle Williams. Williams out jumps Carr in the end zone, 21-0 in 2nd.',positive,cluster1
'Jr got selected to the pro bowl team and the season not over yet!!!! One more game Saturday than playoffs.',positive,cluster1
'@vanessacaterina damn I don\'t wanna get on my computer. Tomorrow :( my Harry feels are out of control and the outtakes video broke me',negative,cluster10
'thursday morning freestyles. im the rap game white larry bird',neutral,cluster6
'@jayharveyuk @Cassieheath83 Next Sunday is penciled. The Harveys meet the Lawson-Mckennas for a royal rumble.',neutral,cluster8
'@TheEllenShow Congratulations on you celebrating British kid singers Sophia Grace\'s and Rosie\'s 1st Anniversary of a visit of your show. How',positive,cluster5
'Fucking part time fans. Where were you at Boro away on Saturday?',negative,cluster10
'\\\"\"Harry Styles is leaving One Direction and going to form a two-man band with Ed on the 31st of February.\\\"\" Right, and I\'m married to Obama',neutral,cluster4
'@karabellespn Would you trade Calvin, CJ and Murray for Griffin, McCoy and Lloyd in a keeper PPR league? Also have Harvin but 2nd RB lacking',neutral,cluster1
'Tomorrow... I\'m on the air live at 9:05 on wjct radio. Then on TV taping for good morning Jacksonville at 10:30. #excitingtimes',positive,cluster10
'@Moretti_Crowned @RobCitrullo I\'m on the last 3 episodes for the 10th time. I still want to bootfuck Phil & Johnny sac every time they talk.',negative,cluster4
'@realMickFoley Hey Mick!  Do you know what time you\'ll be signing in Indianapolis on the 18th?',neutral,cluster10
'Celebrity Juice is the highlight of my Thursday night.. Keith Lemmon is hilarious hahaha',positive,cluster10
'@JMAdams1990 Haha, I do to :) You should probably also know Nov 24th is the Kasabian gig, so that date is also taken :P',positive,cluster10
'Waiting for the highlight of my Thursday night Celebrity Juice #nolife',positive,cluster10
'Pierce the veilRT @FaZachary: Miss may iRT @abityab: Lagu demen Bullet for my Valentine, hbu ??',neutral,cluster3
'Northern lights sale tomorrow following the Wexham Cup Bull Sale; sale of Elite Female Holstein & Jerseys! A real treat of a sale! No trick!',positive,cluster9
'Ben said Bicester was full of chavs, well I\'m currently sat with last years cast of Jeremy Kyle. UH HYPOCRITICAL MUCH?',neutral,cluster1
'Bay Area heads! i\'ll be on the piano at Yoshi\'s San Fran this Sunday playing with the one n only Dwight Trible - http://t.co/Wg6HG2F4',neutral,cluster5
'So with Bey performing at the Superbowl in Feb. I\'m assuming new material in the coming months before hand then album after Grammy\'s',neutral,cluster10
'Adam Levine strikes a pose for photographers outside of the Late Show with David Letterman on Thursday (October 25) in New York City',neutral,cluster10
'@BillPhill12 May happen. If he can win WI & IA, or PA, he won\'t need NH & NV. Just needs CO, FL & VA n addition t safe red states.',neutral,cluster8
'Still writing on Christmas and new year.... Still. And I\'ll be writing about Valentine\'s Day in December #DaFuzz',neutral,cluster2
'Happy Valentine\'s Day is trending? ?? But... it\'s not even February?',negative,cluster2
'Hi, Memi! Thanks for agreeing to lead at SAG!  Would you be available for a Sun., any Sun, in Dec rather  than Nov 4th?  I just learned  ...',positive,cluster9
'So ready to be done with classes tomorrow and head to Chapel Hill to support my favorite #WUWBB ladies @brooklynTHEboss  & @allthatJAZZ_21!',positive,cluster10
'This Sunday, come watch the Ravens take on the Browns, and help support the Baltimore Humane Society! CAPTAIN... http://t.co/sddQgkJg',positive,cluster1
'@CherieLuLu74 Oh it was a good cry. She\'s a Blake fan & was SO happy Taylor didn\'t win for the 3rd year in a row.',positive,cluster10
'\\\"\"someone\'s hitman\\\"\" sure you are. you may be a hitman but dude, you just got pwned by Cupid cos he hit you real hard, man.',neutral,cluster10
'We better trend HAPPY 16TH BIRTHDAY NICK J. That\'ll be so confusing for him when he gets on. xD',positive,cluster2
'AC Milan reportedly want Miralem Pjanic to join the San Siro in January #FootballFanatic',neutral,cluster5
'\\\"\"Even when you\'ve bought your 6th investment home with Harry Styles and Sakina calls Niall \'sayang\' or \'abang\' cause they kahwined\\\"\" omf',neutral,cluster3
'My mom works with the mother of the girl that won Homecoming Queen at PHS last Friday and the company just sent out the sweetest email.',positive,cluster10
'How badly I miss Andy Carroll. Knowing that the derby game is tomorrow, he always played very well and scored against blue noses.',positive,cluster8
'Tickets for the France, Belgium, Netherlands, Germany, Denmark, Norway, and Sweden TMH tour go on sale tomorrow! Good luck! :)',positive,cluster9
'@LaurenSanders_x Do you mean you come here or me go to you? I can only afford to go out 1 night cause i\'m going to Amsterdam on Monday x',negative,cluster10
'Who to the bell game tomorrow though',neutral,cluster10
'I\'m going to Georgetown tonight. 2nd annual Gtown fest',neutral,cluster6
'New live sound webinar tomorrow at 10 PST with Paul David Hager (Goo Goo Dolls, Avril Lavigne, Devo) - register now at http://t.co/K28JuWHz',neutral,cluster10
'#tech Apple CEO apologizes for error-ridden new map app - Apple CEO Tim Cook apologized Friday for the company&#039;... http://t.co/KRVX70C2',negative,cluster5
'@meagan_cassidy no problem Phil.. Oh hey we\'re all going trick or treating Saturday in Na and then having an arvo  if you wanna come :)',positive,cluster10
'@alexisnews You should attend @wftda Champs this Fri/Sat/Sun: top 12 roller derby teams in the WORLD, we play Indianapolis 8pm Friday!!!',positive,cluster1
'someone should come with me to Noel Fielding on Saturday night because Noel Fielding, basically #please #Iwillcry',neutral,cluster10
'@navyvet50 Queen. Their music just Sounds so complete. As if its been around forever. Freddy is the man and Brian May\'s style is so unique.',positive,cluster7
'Premier League: West Ham v Man City on Saturday. Our preview looks at the stats & has some interesting betting tips: http://t.co/x2d4gLYT',positive,cluster8
'@cocozzaHQ I preordered it on Thursday/friday at midnight the night it came able to pre-order, love you and Frankie. X http://t.co/Pp1oZZaA',positive,cluster8
'Loving the opening debates rap game Kathy Crowley October 20 - Bruno Mars http://t.co/jyQ3lqbU',positive,cluster2
'@RiriSpice19 @givemethat_beca @white_choc0lat3 @stephy_T073 @onthenikdrum GO BORO!May the FORCE be with you from the 1st second to the last!',positive,cluster8
'@HeffronDrive Congratulations Kendall in Germany it is 7 clock Friday November 2, so Happy B-day',positive,cluster10
'\\\"\" Guys who have crushes, have little a little penis! \\\"\" Lmfao the random shit Ambrose says in 6th prd !',positive,cluster10
'My hormones are spiraling out of a control, I am crying over the Jeremy Kyle show for not the 1st or the 2nd but the 3rd time today #wut',negative,cluster10
'@PS4RS if I had the nerve, I\'d buy all Joe Pa cutouts @ Middletown campus n go to 2nd n Maclay to sneak them in  gov mansion gates...',neutral,cluster8
'@ForeverFlailing Well you better be dancing on the 25th! :D No but you went cray at Niggas In Paris. :)) I FEEL LIKE DEATH.',positive,cluster7
'Kendrick Perkins may have the worst goatee in all of sports.',negative,cluster1
'Nothing is going to change between now and Wednesday. If Acta has went this long w/o being canned, might as well finish the season w/him.',neutral,cluster10
'OCT 27TH // ONE SPORTS LOUNGE // MONTA ELLIS (of the Milwaukee Bucks) // JRE RILEY // M.B.M. // $500 CASH PR rCvKg6Rz http://t.co/LKoaqsdh',neutral,cluster3
'Friday\'s CNET Update is playing One Republic : Apple CEO says sorry for iOS 6 map mess Apple CEO Tim Cook has said he was \\\"\"extremely sorr',negative,cluster5
'Tomorrow is going to be a fun-filled day of emailing people on how and what to do so I can come back to Murray in the spring. #stressful',positive,cluster1
'Sherman Hemsley is on \\\"\"Soul Train\\\"\" trying to dance and sing. He is terrible. I\'m cracking up. May he R.I.P.',negative,cluster6
'So proud of @wakemenssoccer for the huge upset against Maryland. Time for us to do the same tomorrow night #godeacs',positive,cluster10
'Rugby is a great winter sport for gaa ladies looking to keep up there fitness. Come along friday to kilkenny rfc at 7 to try it out',positive,cluster6
'@jarediero aw lucky, I was sat on my aunt\'s couch somewhere in Germany at the time watching the livestream and bawling my eyes out omg',positive,cluster10
'@RalstonReports I think we all knew it would come to this. We sat through 4 yrs of watching a hatred for the POTUS build up. And here we are',negative,cluster3
'I just remembered \'Niggas In Paris\' is a song. DELIGHTED! What a SATURDAY!  #positivetroll',positive,cluster10
'\\\"\"Avril Lavigne is having a concert tomorrow night in the park. Sonic\'s opening for her. You wanna come?\\\"\"',neutral,cluster10
'@LoganMDelaney mine just went back to Nikon for the 4th time- 3 for shutter bounce- came back the other day with a scratched baseplate- fun.',neutral,cluster10
'An emotionally intelligent organisation through mindfulness? Find out how with @GetSIYLI in San Fran in Dec https://t.co/B3pbUTRU pls RT!',positive,cluster9
'TAKBIR!! Dr. Mohamed Morsi announced as Egypt\'s 1st elected President after the glorious 25th of Jan Revolution. Congratulations to Egypt!',positive,cluster8
'GOP has set the bar very low with a 4th cycle promoting a grossly UN-AMERICAN idea: POTUS as elected autocrat. #Civics101',negative,cluster3
'@pvoelkel In your defense,my love of Dickens\' original may be regarded unnecessarily high in my eyes because of the history I have with it',neutral,cluster7
'tonight!!! (wed)--Mike \'Slo-Mo\' Brenner solo opening for Jim White at Tin Angel. 8pm. c\'mon out!!... http://t.co/5106ZL2k',neutral,cluster6
'DTN Kazakhstan: : Capello Ill Tweak Lineup for Azerbaijan GameCoach Fabio Capello said Monday he will tweak the ... http://t.co/l3wZthK0',neutral,cluster1
'Spending my last night in Indianapolis with my mom and cousin. Headed to Idaho tomorrow! http://t.co/KcBgoqLv',neutral,cluster10
'@Aaron_LW well I\'m currently on holiday in Portugal coming home tomorrow then going to Poland on Tuesday for a holocaust memorial trip!',neutral,cluster10
'About to watch the 2nd half of season 2 of Breaking Bad on my long flight to Hong Kong #buzzin',neutral,cluster10
'I may ask my doctor for Ambien on election night. I\'d rather sleep through it and hope I wake up to footage of Mitt crying over his loss.',negative,cluster10
'Cheaper carbon replaces silicon in solar panels: Washington, Nov 1 (IANS) Researchers have built the first solar... http://t.co/yTlRb0Xc',neutral,cluster9
'Fuck looking at art tomorrow I\'m going straight to the side of town where I can find chief keef! #OHHYEAHH',positive,cluster10
'Can\'t wait to hear tomorrows CMAG Meeting about HORNY (CoNI ) Report. Baages wait & watch you will be grilled tomorrow ! CMAG a hope.',negative,cluster10
'It\'s wednesday!! You know what that means.... new episodes of The Challenge: Battle of the Seasons & American Horror Story: Asylum!!',neutral,cluster2
'Today was National Kissing Day, I\'ll have to make up for the loss tomorrow',neutral,cluster10
'Tomorrow is the last day for early voting here in Nevada, if you havent already go vote!! Dont wait til tues. to do so...',neutral,cluster10
'Taiwan wins visa free travel to US: Six Taiwanese tourists arrived in New York on Thursday as the first from the... http://t.co/Bk6WrD6F',neutral,cluster3
'So I thought yesterday was Tuesday. I\'m thinking today will be a little like the movie Ground Hog Day.',neutral,cluster10
'#BetStyleLounge this Saturday @Dtlr will be Turnt to the MAX! Come see me and @DjPharris rock out! 35th and King Dr!! http://t.co/30fmUpli',positive,cluster6
'Man Utd v Arsenal on Sat sees the best defence (AFC) in the league (conceded 0.67 p/game) against the best attack (Utd) (scored 2.67 p/game)',positive,cluster8
'Watching Sunday\'s \\\"\"Harry and Paul\\\"\". Good it is too. Well-observed and fearsomely dry.',positive,cluster4
'We do not live in Ground Hog Day, we don\'t live with a victim mentality, today B rough but tomorrow won\'t be the same #El #leadership',neutral,cluster2
'Was thinking of Harry Redknapp for the @blackburnrovers job for the past few days now. Would be an absolute coup! C\'mon Shebby!',positive,cluster4
'#nowplaying Jim White - Crash Into the Sun http://t.co/H8AfTJm2',neutral,cluster3
'remember last new years and I sat there for 2 hours watching Kasabian live at the O2',neutral,cluster10
'Many rumours floating about that Harry Redknapp may be interested in the Blackburn job? What do you all think?',positive,cluster4
'New Glory Gang music Janet at the Superbowl http://t.co/uvKpMUkX on #SoundCloud',neutral,cluster5
'This bitch @backyardbetty just put frog back on Lmfao throw back Thursday',negative,cluster10
'\\\"\"No you may not kick it.\\\"\"  -Tribe Called Quest answering a text from Billy Cundiff',negative,cluster1
'Happy Valentine\'s Day (to you that may have one)',positive,cluster2
'My body is exhausted. I walked from 79th and Jeffery to the lakefront, where i accidentally sat on dead fish, to 55th and King Dr. and back.',negative,cluster3
'[INFO] TaeTiSeo will perform on \\\"\"Love In Asia\\\"\" tomorrow (11/02) at 02:30PM (KST), KBS will broadcast the concert on 13 November at 07:30PM',neutral,cluster9
'Game Day.. Arsenal Ladies vs Turbine Potsdam.. Champions League Last 16 1st Leg.. Get down and support the Gooners..!! #UWCL #ALFC',neutral,cluster8
'Video Game Trailers - Launch Trailer: Check out the launch trailer for Mass Effect 3. Added: Fri Oct 26 00:11:11... http://t.co/8BHGTbtJ',neutral,cluster4
'No joke I got a voicemail yesterday saying \\\"\"Happy Valentine\'s Day\\\"\" instead of \\\"\"Happy 4th of July\\\"\".  Wow.  Not sure what that is all about.',positive,cluster2
'My mama going to Jacksonville Saturday ,I would go but she want let me ,I\'m on \\\"\"punishment\\\"\".!',negative,cluster10
'Great seeing u. I\'m host of Google+ Hangout #RomneyRally Wednesday of u want invite let me know #lynndebate @teachpr',positive,cluster9
'Nikon has once again proven it\'s a small world after all with the latest ... - Herald Sun http://t.co/ZRyswQZp',neutral,cluster5
'Come out on Monday to watch THE WOMAN IN BLACK w/ the MODEL UN! Free Entry! Concessions w/ donation!! #SSU # http://t.co/PMsTAOcU',neutral,cluster4
'Niggas In Paris was playing in the waiting room at the clinic and this old lady sat tapping her walking stick and bobbing her head. So cute.',positive,cluster10
'And to the 2 girls in front of us that sat down and played Temple Run the whole time, why did you even come? #confused',negative,cluster10
'Loved the hair style from Friday\'s Jason Wu New York Fashion Week show? We\'re giving you the step-by-step to... http://t.co/fnc62FeG',positive,cluster9
'@lindalukita Chinese? On top of the international holidays, we have Chinese New Year Eve,Chinese New Year (Day 1& 2),Chap Goh Mei (15th day)',neutral,cluster2
'Too Soon? Amazon Opens Black Friday Deals Store: Thanksgiving is weeks away, the World Series only ended on Sund... http://t.co/8DgZiecz',negative,cluster5
'@domeqwwfv1 may be its true becouse triple h arm has broken for reel or may be he will come back at the royal rumble',neutral,cluster8
'@TheXFactor Boring #XFACTOR. Seen it all before #XFACTOR. @ITV1 Let\'s have something new for Autumn and no more Dancing on Ice in January.',negative,cluster7
'Went to see \'The Mystery of Charles Dickens\' at the Playhouse Theatre, West End last Thursday starring Simon Callow.  It\'s a must see!',positive,cluster2
'Oh yay! My mom just told me that my Grammy is coming tomorrow!!!! Woot woot! #loveher',positive,cluster10
'Unfortunately, I am wathcing all manifestation related to Republic Day and I just see that we are really far away 21st. century.+++',negative,cluster2
'This may be a little forward.... - secret-country: but can you imagine the sex Miranda Lambert & Blake... http://t.co/QHeebjN4',positive,cluster7
'The ending to The Grey may be one of the most bad ass endings to a movie I\'ve ever seen',negative,cluster10
'Totally curious with Dream High 2.. Wanna watch this drama asap! Wanna compare it with the 1st one.. Still theres a loooooooong holiday (y)',neutral,cluster10
'Safe and sound at Narita airport! Feels good to be back at the land of rising sun',positive,cluster10
'It\'s so early here in Germany, my American friends are just now getting drunk. Off to Prague, knuckleheads! Talk to you on Sunday! #CzechRep',positive,cluster2
'@ChicagoBears can not let be a let down game Sunday with Houston and San Fran coming up. Gotta focus on beating Tennessee. #JayisourQB',negative,cluster1
'Who\'s going to Israel this Saturday?!',neutral,cluster10
'Iran army monitoring all ships in Gulf: TEHRAN, Oct 28: A senior commander of the Islamic Revolution Guard Corps... http://t.co/uU6Vxk2A',neutral,cluster8
'Soul Train 70\'s Halloween  Party Sat Oct 27 http://t.co/IrUW87SM ADV TIXX $10 -  $15 wt out costume $20 at the door...http://t.co/IrJ3lzNw',neutral,cluster6
'@NICKIMINAJ cant wait for you to come to dublin on monday so excited to see you:-) <3',positive,cluster10
'BJ Penn vs. Nick Diaz replay on FuelTv! I\'d pay to watch it a 2nd time!',positive,cluster4
'Taylor Swift to co-host Grammys with LL Cool J: New York, Oct 30 (ANI): Taylor Swift has been chosen to present ... http://t.co/3dbmx4jq',neutral,cluster7
'My hormones are spiral out of a control, I am crying over the Jeremy Kyle show for not the 1st or the 2nd but the 3rd time today #wut',negative,cluster1
'@danicook8 ah okay was hoping to see you out Friday! Next time I\'m staying at Harry\'s we should meet up in Kingston! Xx',positive,cluster10
'@ArianaCurdles lol you mean pronounce it? Idk either..hmm...I like to say it like \'hair-may\' or \'hair-mess\' LMFAO IDK OKAY. xD',positive,cluster2
'@stephyyboo15 Lol. Maybe Friday since I\'m going to Georgetown.',neutral,cluster10
'Bird on the Wire is one of the 1st songs I learned as a child. And now daddy and I go see Leonard Cohen! http://t.co/pvANSpi6',neutral,cluster6
'@JKLittle6 next Thursday or Friday they play Maryland in New York for the first real game',neutral,cluster10
'Be sure to watch \\\"\"Cougar Town\\\"\". It\'s \\\"\"Friends\\\"\" minus all the best actors, plus wine! Coming in January. Right after \\\"\"Shovin\' Buddies\\\"\"',positive,cluster10
'Arsenal Ladies are 0-0 at HT with FFC Turbine Potsdam in their Women\'s Champions League Last 16 1st Leg Clash at Borehamwood. #WUCL',neutral,cluster8
'Thursday nights just wont be the same without Waterloo Road',neutral,cluster6
'Harden got 25pts in the 3rd. Damn, maybe Lin and Harden can get my Rockets to the playoffs.',neutral,cluster1
'Not everyone has the same image of sexy. There are plenty of men out there who may think I\'m built like ray Lewis wit a weave. Oh well...',positive,cluster10
'Valentine\'s Day by Linkin Park may not be the newest song but it\'s one of the best',positive,cluster2
'Community, Cougar Town, Friday Night Lights, Glee, Mad Men, Modern Family, six feets under, skins, Terra nova o the wire???',neutral,cluster10
'Land conservation announcement Monday: Gov. Mitch Daniels and Lt. Gov. Becky Skillman will make a lan... http://t.co/5Srsx6J1 #nashville',neutral,cluster8
'Ryan Reynolds may be back for a prequel or sequel to Safe House, with or without Denzel Washington. Script is in the works.',neutral,cluster3
'@Giselleco OH HEY! I have another reason for you! It\'s NATIONAL CHOCOLATE DAY ON SUNDAY! :D',positive,cluster2
'Dinner with my dad. And tony Parker with a last second game winning shot. What a great night...just in time to be ruined by 300s tomorrow...',positive,cluster1
'Post of the night:  Anonymous (ID: ExcV6jkR) 11/02/12(Fri)00:52:39 No.434329650      This thread is like watching a monkey fuck a coconut',negative,cluster4
'Apple CEO apologizes for error-ridden new map app (+video): Apple CEO Tim Cook apologized Friday for the company... http://t.co/dpHhFypj',positive,cluster5
'@bballSource he just got completely, utterly lost.. it\'s not like there was a viable 2nd option, everyone knew it was Parker\'s shot!',negative,cluster1
'Congrats to DJ\'s 3rd grade team going to the Superbowl! I\'ll be there cheering.',positive,cluster10
'Who\'s going to go see Breaking Dawn part 2 with me!? C\'mon!',positive,cluster10
'The two Lukes (Austen and Dickens) playing at Nelson Bay Diggers Club this Friday 2/11. Go check \'em out if you live in the area..',neutral,cluster6
'@JanineTurner Yes thank you Janine!!  I saw Kelsey Grammer Wed night at SAG but didn\'t talk politics there.  Let\'s take Hollywood back!',positive,cluster6
'1st official release on @StripesRecords is out now! #EOTT2 with rmx\'s from Haze & Northern Lights + instrumentals! https://t.co/XUjEDHDe',neutral,cluster9
'Big game for @MiamiHEAT tomorrow, away vs the Knicks at MSG. Personally think Knicks will win... first game, MSG crowd, Sandy disaster...',positive,cluster1
'Lots of rumors out there. Oilers are said to want Leopold/Adam/3rd, Sekera/Pysyk/2nd, Sekera/Adam, Leopold/Adam for Sam Gagner. Who knows??',neutral,cluster1
'Second last show of the season, 19th annual Gift of Art, with the artists of the #kanata Civic #art #gallery. Stop in! http://t.co/BkQnxEC0',neutral,cluster9
'I\'m assuming that HEB ran out of candy and people decided to give out pizza instead because it was busier than Super Bowl Sunday today',negative,cluster10
'Goodnight! Big day! Tomorrow I\'m at the school to 3:00 (Argentina time) because I stay to the Mallin! (Tomorrow I\'ll tell you what is that)!',positive,cluster10
'Today is National Kissing Day coz it\'s no work day tomorrow!!!',positive,cluster10
'Come meet members of the \\\"\"1980 Dawgs\\\"\" in Athens this weekend at The Red Zone!  Friday, 3pm - 6pm: Coach Vince... http://t.co/vQ6ykuqC',neutral,cluster1
'This time tomorrow night ill be partying it up in chapel hill :) #cantwait',positive,cluster10
'victor cruz isnt himself today........i know he\'ll get it together in the 2nd half',neutral,cluster1
'6 people left in the world and one of them is bill Murray ...there\'s only 5 people .....who\'s the 6th???',neutral,cluster10
'Dublin\'s Street Pub Come join us for Open Mic. Thursday, as the Party continues here at Dublin\\\"\"s Street Pub.  $ (cont) http://t.co/B0FEZmLt',neutral,cluster6
'oH MAN i thought the deadline for ACT was tomorrow I have until the 9th bless',neutral,cluster10
'@keimtime3 you realize Mizzou made T-shirts celebrating their win over Kentucky! They should commemorate their 8th place finish on the back.',positive,cluster1
'1st movie of the night: The Vow',neutral,cluster10
'TTS will participate in the \\\"\"love in asia\\\"\" tomorrow (2/11) at 2:30pm(KST).KBS will broadcast the program on 3/11 at 7:30pm(KST) on KBS World',neutral,cluster9
'MILAN-GENOA: 22 ROSSONERI: MILANELLO - 22 players have been called up for Milan-Genoa tomorrow at the San Siro s... http://t.co/u8SZ4fji',neutral,cluster5
'@nml @MuchMusic have you called people yet for Bruno Mars next Friday!?',neutral,cluster10
'Trying for tickets to tomorrow\'s show (@ The Late Show with David Letterman) http://t.co/eI4DInhA',neutral,cluster10
'@CASS_TAR is addicted to ACT. She just took one on Saturday. And she just signed up for a third test.',neutral,cluster10
'In 27 hours i know if im gonna see the boys live on May 1st!! Omgg im sooo scared for tomorrow!',negative,cluster10
'@ThomasErdbrink If Obama wins I am quite sure one of his 1st major foreign policy hits would be successful resumption of talks with Tehran.',positive,cluster3
'Awesome response guys! The correct answer is: Sam Gagner and Brendan Smith. All of you will be put into the draw this coming Thursday! #JT',positive,cluster1
'\\\"\"Harry Styles is leaving One Direction and going to form a two-man band with Ed on the 31st of February.\\\"\" and I\'m married to Obama',negative,cluster4
'Not that I want to tip my hand... but there will be moves in both portfolio\'s tomorrow morning at 8:35 AM (CST) Home Run and Follow The $$',neutral,cluster10
'@WardChanning Hey Channing Tony Provias from Aberdeen Hope you get a sack on Murray this Sat!!!',positive,cluster7
'@charles_sings  Lorenzo Beasley. He was killed on July 17th of last year on the corner of 53rd and King Dr.  ~#Mile 5',negative,cluster2
'in my TL guys talks about AFC vs MUFC i know guys u cant wait till Saturday :D #EPL <33',positive,cluster10
'For second time, Eagles make stop -- and commit a penalty. PI on Kendricks gives Atl another 1st down. Groundhog Day lives.',neutral,cluster2
'@ama_la_lettura would you be up for full day of movies at mine on Thursday? :P so far Tarzan and The Notebook is on the list xD',positive,cluster6
'Like, \\\"\"Sweet You.\\\"\" \\\"\"Happy Valentines day.\\\"\" (when it\'s July). \\\"\"I\'ll meet you at the shop every Tuesday.\\\"\".......',positive,cluster2
'@DABieberBreezy QUEEN can you please help me trend #biebsmeetbieberwhirls? he\'s coming to my city tomorrow & i wanna try to meet him',positive,cluster10
'Watched Muse on the Jonathan Ross show last night and promptly had nightmares about screwing everything up on Wednesday! Eeeeek!',neutral,cluster10
'@morgwolfe @jillianlucas3 @mack_mays movies Friday night! \\\"\"Flight\\\"\" with Denzel Washington!!! Don\'t make plans because I just made plans!!!',neutral,cluster10
'I hope we don\'t go to the NINERS game onda 11th. BUT, I wouldn\'t mind meetin\' up widd my boo, KYLE WILLIAMS inda loccer room & stuff. Lmfao!',negative,cluster10
'Rivers to Gates, for only the 3rd time this season. Keep it up Chiefs, fantasy teams need you',positive,cluster1
'Arianators please help me. I\'m a girl who\'s body is very sore and just asking for Ariana & Jennette\'s goodluck for tomorrow. PLEASE :(',negative,cluster10
'Google+ Hangout with : OCTOBER 27th! 2PM Pacific / 5PM Eastern via #ASKLLCOOLJ #LLCOOLJHangout http://t.co/jbKWSFgD #KPOPTV #2PM',neutral,cluster9
'AC Milan reportedly want Miralem Pjanic to join the San Siro in January (Source: Corriere dello Sport) http://t.co/1ONyAoXN  #transfertalk',neutral,cluster5
'Gotta remember to bring dionje candy tomorrow, lol he got mad at me today!',positive,cluster10
'Great drink specials this Saturday as Mizzou looks for the upset over Florida. Former Mizzou WR Brian Wheller... http://t.co/xOkdQwas',neutral,cluster6
'Watched The Vow for the 5th time and I\'m still tearing. What\'s wrong with this movie. It\'s tooo... omg i can\'t even.',negative,cluster10
'See you on March 24th. From Argentina to Miami, no limits for #ASOT and @arminvanbuuren',neutral,cluster6
'@RLBrown3 Better Suit Up at the Senior Bowl Friday night.',positive,cluster10
'Egypt&#039;s President Mohamed Morsi on Monday pardoned all those arrested between the start of the revolution t ...  http://t.co/EMfVHoTu',positive,cluster8
'Kurt Convey wins the boys race in 16:01 with Nick Diaz coming in 2nd around 16:10. Rounding out the top 3 was Kenny Castro.',positive,cluster4
'FYI - the ridiculously adorable ladybug Larry Bird gives his 1st piece of candy to is our producer/ director Chris Koch\'s gorgeous daughter!',positive,cluster6
'Pictures of #OVERDOSER 1st Anniversary party at Safe House #Thonglor are online! Check it out! http://t.co/Owjm4swu http://t.co/YmEQ9KrL',neutral,cluster6
'Realized that I\'ve just spent Halloween, super bowl Sunday, and my last two birthdays either in the library, or in a computer lab..',negative,cluster10
'BUSTED @T_M_Birch caught out celebrating the 1st\'a cup win with Andy Carroll and Joe Hart #Beer #Jager http://t.co/Ifv3wd9I',neutral,cluster8
