words,polarity
feudal,Negative
fever,Negative
feverish,Negative
fiasco,Negative
fickle,Negative
fidelity,Positive
fidget,Negative
fiend,Negative
fierce,Negative
fiery,Positive
fight#1,Negative
fight#2,Negative
fight#3,Negative
fighter,Negative
filial,Positive
fill#4,Positive
filth,Negative
filthy,Negative
fine#1,Positive
fine#2,Positive
fine#3,Positive
fine#4,Positive
fine#5,Positive
fine#6,Negative
fine#7,Negative
fire#1,Negative
fire#2,Negative
fire#3,Negative
firmness,Positive
fist,Negative
fit#2,Positive
fit#5,Positive
fitness,Positive
fix#5,Negative
flagrant,Negative
flair,Positive
flashy,Positive
flatter,Positive
flattery,Positive
flaunt,Positive
flaw,Negative
flawless,Positive
fled,Negative
flee,Negative
fleeting,Negative
flexible,Positive
flimsy,Negative
flirt,Positive
floor#5,Negative
flounder,Negative
flourish,Positive
fluent,Positive
foe,Negative
foible,Negative
fond#1,Positive
fond#2,Positive
fond#3,Positive
fond#4,Positive
fond#5,Positive
fond#6,Positive
fond#7,Positive
fondness,Positive
fool#1,Negative
fool#2,Negative
foolish,Negative
foolishness,Negative
forbid,Negative
forbidden,Negative
force#3,Negative
force#5,Negative
force#6,Negative
foreboding,Negative
foreign#2,Negative
foremost,Positive
foresight,Positive
forfeit,Negative
forgave,Positive
forgetfulness,Negative
forgive,Positive
forgiven,Positive
forgiveness,Positive
forlorn,Negative
formality,Positive
formidable,Negative
forsake,Negative
fortify,Positive
fortitude,Positive
fortunate,Positive
forward#1,Positive
foster,Positive
fought,Negative
founder#2,Negative
fracture,Negative
fragile,Negative
fragrant,Positive
frank,Positive
frantic,Negative
frantically,Negative
fraud,Negative
fraudulent,Negative
fraught,Negative
freak,Negative
free#1,Positive
free#2,Positive
free#3,Positive
free#4,Positive
free#5,Positive
freedom,Positive
fresh,Positive
fret,Negative
fretful,Negative
friend,Positive
friendly,Positive
friendship,Positive
frighten#1,Negative
frighten#2,Negative
frighten#3,Negative
frightful,Negative
frigid,Negative
frivolous,Negative
frolic,Positive
front#3,Negative
frown#1,Negative
frown#2,Negative
frugal,Positive
fruitful,Positive
fruition,Positive
fruitless,Negative
frustrate#1,Negative
frustrate#2,Negative
frustrate#3,Negative
frustration,Negative
fugitive,Negative
fulfill,Positive
fulfillment,Positive
fullness,Positive
fumble,Negative
fun#1,Positive
fun#2,Negative
funny#1,Positive
funny#2,Positive
funny#3,Positive
furious,Negative
fury,Negative
fuss,Negative
fussy,Negative
futility,Negative
gaiety,Positive
gaily,Positive
gain#1,Positive
gain#2,Positive
gall,Negative
gallant,Positive
gallantry,Positive
gamble#1,Negative
gamble#2,Negative
game#3,Positive
garnish,Positive
gash,Negative
gaudy,Negative
gay,Positive
generate,Positive
generosity,Positive
generous,Positive
genial,Positive
genius,Positive
gentle,Positive
genuine,Positive
germ,Negative
get#5,Negative
ghastly,Negative
ghetto,Negative
giddy,Positive
gift,Positive
gifted,Positive
give#1,Positive
give#4,Positive
glad#1,Positive
glad#2,Positive
gladden,Positive
gladness,Positive
glamorous,Positive
glamour,Positive
glare,Negative
gleam#1,Positive
gleam#2,Positive
glean,Positive
glee,Positive
glimmer,Positive
glisten#1,Positive
glisten#2,Positive
glitter#1,Positive
glitter#2,Positive
gloat,Negative
gloom,Negative
gloomy,Negative
glorify,Positive
glorious,Positive
glory,Positive
glossy,Positive
glow#1,Positive
glow#2,Positive
glum,Negative
goddamn,Negative
godlike,Positive
godliness,Positive
gold,Positive
golden,Positive
good#1,Positive
goodbye,Positive
goodness,Positive
gorgeous,Positive
grab,Negative
grace,Positive
graceful,Positive
gracious,Positive
graduation,Positive
grand,Positive
grandeur,Positive
grapple,Negative
grateful,Positive
gratification,Positive
gratify,Positive
gratitude,Positive
gratuitous,Negative
grave#1,Negative
grave#2,Negative
grave#3,Negative
grave#4,Negative
grave#5,Negative
great#1,Positive
great#2,Positive
great#3,Positive
greatness,Positive
greet#1,Positive
greet#2,Positive
grief,Negative
grievance,Negative
grieve,Negative
grim,Negative
grizzly,Negative
groom,Positive
grotesque,Negative
growl,Negative
grudge,Negative
gruff,Negative
grumble,Negative
guarantee#1,Positive
guarantee#2,Positive
guardian,Positive
guerrilla,Negative
guide#1,Positive
guide#2,Positive
guide#4,Positive
guilt,Negative
guilty,Negative
guise,Negative
gullible,Negative
gun,Negative
gunmen,Negative
gusto,Positive
hack,Negative
hackney,Negative
hag,Negative
haggard,Negative
hallowed,Positive
hamper,Negative
hand#6,Negative
hand#9,Positive
handicap,Negative
handsome,Positive
handy,Positive
hang#3,Negative
hang#6,Negative
haphazard,Negative
hapless,Negative
happiness,Positive
happy#1,Positive
happy#2,Positive
happy#3,Positive
happy#4,Positive
harass,Negative
harassment,Negative
hard#1,Negative
hard#5,Negative
hardship,Negative
hardy,Positive
harm#1,Negative
harm#2,Negative
harmful,Negative
harmless,Positive
harmonious,Positive
harmonize,Positive
harmony,Positive
harness,Positive
harsh,Negative
hassle,Negative
hate#1,Negative
hate#2,Negative
hate#3,Negative
hater,Negative
hatred,Negative
haughty,Negative
haunt,Negative
haven,Positive
havoc,Negative
hazard#1,Negative
hazard#2,Negative
hazardous,Negative
haziness,Negative
hazy,Negative
headache,Negative
heal,Positive
health,Positive
healthful,Positive
healthy#1,Positive
healthy#2,Positive
healthy#3,Positive
heart#4,Positive
heartily,Positive
heartless,Negative
heaven,Positive
heavenly,Positive
hectic,Negative
hedge,Negative
hedonistic,Negative
heedless,Negative
heinous,Negative
hell,Negative
help#1,Positive
help#2,Positive
help#3,Negative
help#4,Positive
helpful,Positive
helpless,Negative
helplessness,Negative
hero,Positive
heroic,Positive
heroine,Positive
heroism,Positive
hideous,Negative
highlight,Positive
hilarious,Positive
hinder,Negative
hindrance,Negative
hit#1,Negative
hit#4,Negative
hit#5,Positive
hoard,Negative
hobble,Negative
hole#2,Negative
hole#3,Negative
hollow,Negative
holy,Positive
homage,Positive
home,Positive
homely,Negative
honest#1,Positive
honest#2,Positive
honest#3,Positive
honeymoon,Positive
honor#1,Positive
honor#2,Positive
honor#3,Positive
honorable,Positive
hope#1,Positive
hope#2,Positive
hopeful,Positive
hopeless,Negative
horde,Negative
horn#3,Negative
horrible,Negative
horrid,Negative
horrify,Negative
horror,Negative
hospitable,Positive
hostile,Negative
hostility,Negative
hot#6,Negative
hug,Positive
human,Positive
humanitarian,Positive
humanity,Positive
humble,Positive
humiliate,Negative
humiliation,Negative
humility,Positive
humor,Positive
humorous,Positive
hung#3,Negative
hunger,Negative
hungry,Negative
hunt#1,Negative
hunt#2,Negative
hunt#3,Negative
hunter,Negative
hurt#1,Negative
hurt#2,Negative
hurtful,Negative
hustle,Negative
hustler,Negative
hygiene,Positive
hypocrisy,Negative
hypocrite,Negative
hysteria,Negative
hysterical,Negative
ideal#1,Positive
ideal#2,Positive
ideal#3,Positive
idealism,Positive
idiot,Negative
idiotic,Negative
idleness,Negative
idol,Positive
idolize,Positive
ignoble,Negative
ignorance,Negative
ignorant,Negative
ill#1,Negative
ill#2,Negative
ill#3,Negative
ill#4,Negative
illegal,Negative
illegality,Negative
illiterate,Negative
illness,Negative
illogical,Negative
illuminate,Positive
illustrious,Positive
imagination,Positive
imaginative,Positive
immaculate,Positive
immature,Negative
immobility,Negative
immoral,Negative
immorality,Negative
immortal,Positive
immovable,Negative
impair,Negative
impartial,Positive
impartiality,Positive
impasse,Negative
impatience,Negative
impatient,Negative
impede,Negative
impediment,Negative
imperative,Positive
imperfect,Negative
impersonal,Negative
impervious,Positive
impetuous,Negative
impetus,Positive
implicate,Negative
implore,Negative
importance,Positive
important,Positive
impose,Negative
imprecision,Negative
impress#1,Positive
impressive,Positive
imprison,Negative
imprisonment,Negative
improper,Negative
improve#1,Positive
improve#2,Positive
improve#3,Positive
improvement,Positive
impulsive,Negative
impunity,Positive
impure,Negative
impurity,Negative
inability,Negative
inaccessible,Negative
inaccuracy,Negative
inadequate,Negative
inane,Negative
inaugurate,Positive
inauguration,Positive
incapable,Negative
incessant,Negative
incompatibility,Negative
incompatible,Negative
incompetence,Negative
incompetent,Negative
inconsistency,Negative
inconvenient,Negative
incorrect,Negative
incredible,Negative
incurable,Negative
indecent,Negative
indefinite,Negative
independence,Positive
independent#1,Positive
independent#2,Positive
indescribable,Positive
indeterminable,Negative
indeterminate,Negative
indicative,Positive
indictment,Negative
indifference,Negative
indifferent,Negative
indignation,Negative
indispensability,Positive
indispensable,Positive
individuality,Positive
indomitable,Positive
indulge,Negative
indulgence,Positive
industrious,Positive
ineffective,Negative
ineffectiveness,Negative
ineffectual,Negative
ineffectualness,Negative
inefficiency,Negative
inequality,Negative
inexact,Negative
inexpensive,Positive
inexplicable,Negative
infallibility,Positive
infallible,Positive
infamous,Negative
infect,Negative
infection,Negative
infer,Positive
inference,Positive
inferior,Negative
inferiority,Negative
infest,Negative
infiltration,Negative
inflame,Negative
inflation,Negative
inflict,Negative
inform#1,Positive
inform#2,Positive
infraction,Negative
infringement,Negative
infuriate,Negative
ingenious,Positive
ingenuity,Positive
ingratitude,Negative
inherit,Positive
inhibit,Negative
inhibition,Negative
inhumane,Negative
injunction,Negative
injure,Negative
injurious,Negative
injury,Negative
innocence,Positive
innocent,Positive
innovate,Positive
innovative,Positive
inquisitive,Positive
insane,Negative
insecure,Negative
insecurity,Negative
insensible,Negative
inseparable,Positive
insidious,Negative
insight,Positive
insignificant,Negative
insinuate,Negative
insistent,Positive
insolence,Negative
insolent,Negative
inspiration,Positive
inspirational,Positive
inspire#1,Positive
inspire#2,Positive
instability,Negative
instable,Negative
instinctive,Positive
insufficiency,Negative
insufficient,Negative
insult,Negative
integrity,Positive
intellect,Positive
intellectual#1,Positive
intellectual#2,Positive
intellectual#3,Positive
intelligence,Positive
intelligent,Positive
intelligible,Positive
intercede,Positive
intercourse,Positive
interest#1,Positive
interest#3,Positive
interest#4,Positive
interested#1,Positive
interested#2,Positive
interfere,Negative
interference,Negative
interpose,Positive
interrupt,Negative
interruption,Negative
intervention,Negative
intimacy,Positive
intimate,Positive
intimidate,Negative
intolerable,Negative
intoxicate,Negative
intricate,Positive
intrigue,Positive
intrude,Negative
intruder,Negative
intrusion,Negative
inundate,Negative
inundated,Negative
invade,Negative
invalid,Negative
invaluable,Positive
inventor,Positive
invincible,Positive
invisible,Negative
invitation,Positive
invite#1,Positive
invite#2,Positive
involuntary,Negative
involve#5,Negative
invulnerable,Positive
irk,Negative
iron#3,Negative
iron#5,Negative
ironic,Negative
irony,Negative
irrational,Negative
irregular,Negative
irregularity,Negative
irresistible,Positive
irresponsible,Negative
irritable,Negative
irritation,Negative
isolate#1,Negative
isolate#2,Negative
jail#1,Negative
jail#2,Negative
jar#2,Negative
jeer,Negative
jeopardize,Negative
jeopardy,Negative
jerk#1,Negative
jerk#2,Negative
jest,Positive
jittery,Negative
jobless,Negative
join#2,Positive
jointly,Positive
joke#1,Positive
joke#2,Positive
joke#3,Positive
jolly,Positive
joy,Positive
joyful,Positive
jubilant,Positive
jubilee,Positive
jumpy,Negative
junk,Negative
just#3,Positive
just#4,Positive
justice,Positive
justifiably,Positive
justification,Positive
justify,Positive
keen,Positive
kick#1,Negative
kick#3,Negative
kick#4,Negative
kid#2,Positive
kidnap,Negative
kill#1,Negative
kill#2,Negative
killer,Negative
kind#2,Positive
kind#5,Positive
kindness,Positive
kiss#1,Positive
kiss#2,Positive
knife#2,Negative
knock#1,Negative
knock#2,Negative
knock#3,Negative
know#3,Positive
know#4,Positive
knowledge,Positive
lack#1,Negative
lack#2,Negative
lack#3,Negative
lag,Negative
laid#2,Negative
lame,Negative
lament,Negative
lamentable,Negative
languish,Negative
lapse,Negative
laudable,Positive
laugh#1,Positive
laugh#2,Positive
laugh#3,Negative
laugh#5,Positive
laugh#6,Positive
laughter,Positive
lavish,Positive
law,Positive
lawful,Positive
lawless,Negative
lay#3,Negative
lazily,Negative
lazy,Negative
lead#4,Positive
leak,Negative
leakage,Negative
learn#2,Positive
learn#3,Positive
learner,Positive
legal,Positive
legitimacy,Positive
legitimate,Positive
leisure,Positive
let#3,Negative
liability,Negative
liable,Negative
liar,Negative
liberal#2,Positive
liberal#3,Positive
liberalism,Positive
liberate,Positive
liberty,Positive
lie#2,Negative
lie#3,Negative
lifeless,Negative
lifelong,Positive
light#1,Positive
light#3,Positive
likable,Positive
like#2,Positive
like#3,Positive
limit#2,Negative
limit#3,Negative
limit#4,Negative
limitation,Negative
limp,Negative
liquidate,Negative
liquidation,Negative
litter,Negative
live#6,Positive
lively,Positive
load#3,Negative
logic,Positive
logical,Positive
lone#1,Negative
loneliness,Negative
lonely,Negative
loner,Negative
lonesome,Negative
longevity,Positive
loom,Negative
lose#1,Negative
lose#2,Negative
loser,Negative
loss,Negative
lost#1,Negative
lost#2,Negative
lost#3,Negative
lost#4,Negative
love#1,Positive
love#2,Positive
love#3,Positive
love#4,Positive
loveless,Negative
loveliness,Positive
lovely,Positive
lover#1,Positive
lover#2,Positive
low#1,Negative
low#2,Negative
lower#1,Negative
lowly,Negative
loyal,Positive
loyalty,Positive
lucid,Positive
luck,Positive
luckily,Positive
lucky,Positive
lucrative,Positive
ludicrous,Negative
lull,Negative
luminous,Positive
lunatic,Negative
lure,Negative
lurk,Negative
lust,Positive
luster,Positive
lustrous,Positive
luxuriant,Positive
luxurious,Positive
luxury,Positive
lying#2,Negative
lying#3,Negative
lyric,Positive
lyrical,Positive
mad#1,Negative
mad#2,Negative
madman,Negative
madness,Negative
magical,Positive
magnetic,Positive
magnificence,Positive
magnificent,Positive
main#1,Positive
majestic,Positive
majesty,Positive
major#1,Positive
make#2,Negative
make#6,Positive
make#7,Positive
maladjusted,Negative
maladjustment,Negative
malady,Negative
malice,Negative
malicious,Negative
malignant,Negative
manageable,Positive
mangle,Negative
manipulate,Negative
manipulation,Negative
manly,Positive
manslaughter,Negative
mar#1,Negative
mar#2,Negative
marginal,Negative
marital,Positive
marriage,Positive
marry#1,Positive
marry#2,Positive
marvel,Positive
marvelous,Positive
massacre,Negative
masterful,Positive
mastery,Positive
matchless,Positive
mate#1,Positive
mate#2,Positive
matter#4,Positive
matter#5,Negative
mature#1,Positive
mature#2,Positive
mature#3,Positive
maturity,Positive
maximize,Positive
meager,Negative
mean#2,Negative
meaningful,Positive
meaningless,Negative
measurable,Positive
meddle,Negative
mediate,Positive
mediocre,Negative
meditation,Positive
meek,Negative
meet#5,Positive
melancholy,Negative
mellow,Positive
melodramatic,Negative
melody,Positive
memorable,Positive
menace,Negative
mend,Positive
menial,Negative
mentor,Positive
merciful,Positive
merciless,Negative
mercy,Positive
merit#1,Positive
merit#2,Positive
meritorious,Positive
merrily,Positive
merriment,Positive
merry,Positive
mesh,Positive
mess#1,Negative
mess#2,Negative
meticulous,Positive
mighty,Positive
mild,Positive
mind#9,Negative
mind#_10,Positive
mindful,Positive
mine#3,Negative
minister#4,Positive
mint,Positive
miracle,Positive
miraculous,Positive
mirth,Positive
misbehave,Negative
misbehavior,Negative
mischief,Negative
mischievous,Negative
miser,Negative
miserable,Negative
misery,Negative
misfortune,Negative
mishandle,Negative
mishap,Negative
misinform,Negative
misinformed,Negative
mislead,Negative
misrepresent,Negative
miss#1,Negative
mistake#1,Negative
mistake#2,Negative
mistake#3,Negative
mistaken,Negative
mistrust,Negative
misunderstand,Negative
misunderstanding,Negative
misunderstood,Negative
misuse,Negative
mix#3,Negative
moan,Negative
mobility,Positive
mobilize,Positive
mock,Negative
mockery,Negative
moderate,Positive
moderation,Positive
modernity,Positive
modest,Positive
modesty,Positive
molest,Negative
momentous,Positive
monotonous,Negative
monotony,Negative
monster,Negative
monstrous,Negative
monumental,Positive
moody,Negative
moral,Positive
morale,Positive
moralistic,Positive
morality,Positive
mortify,Negative
motionless,Negative
motivate,Positive
motivated,Positive
motivation,Positive
motive,Positive
motley,Negative
mourn#1,Negative
mourn#2,Negative
mourner,Negative
muddle,Negative
muddy,Negative
multitude,Positive
mumble,Negative
mundane,Negative
murder#1,Negative
murder#2,Negative
murderous,Negative
murky,Negative
mutter,Negative
mutual#1,Positive
mutual#2,Positive
myriad,Positive
myself>#3,Negative
nag#2,Negative
naive,Negative
nasty,Negative
natural#1,Positive
natural#2,Positive
naughty,Negative
navigable,Positive
neat,Positive
nebulous,Negative
necessarily,Positive
need#1,Negative
need#2,Negative
need#3,Negative
needle#2,Negative
needy,Negative
negate,Negative
negation,Negative
negative,Negative
neglect#1,Negative
neglect#2,Negative
negligence,Negative
negligent,Negative
negotiate,Positive
nervous,Negative
nervousness,Negative
neurotic,Negative
neutralize,Negative
nice#1,Positive
nice#2,Positive
nice#3,Positive
nice#4,Positive
niche,Positive
nightmare,Negative
nimble,Positive
nix,Negative
nobility,Positive
noble,Positive
nobleman,Positive
noise,Negative
noiseless,Positive
nominate,Positive
non-violence,Positive
non-violent,Positive
nonchalant,Negative
nonsense,Negative
normal,Positive
nosey,Negative
notable,Positive
notoriety,Positive
notorious,Negative
nourish,Positive
nourishment,Positive
novelty,Positive
novice,Negative
nuisance,Negative
nullification,Negative
nullify,Negative
numb,Negative
nurse#2,Positive
nurture,Positive
nutrient,Positive
nuts,Negative
oasis,Positive
obedience,Positive
obedient,Positive
obey,Positive
object#3,Negative
objection,Negative
objective#2,Positive
objective#3,Positive
oblige,Positive
oblique,Negative
obliterate,Negative
obnoxious,Negative
obscure,Negative
obsolete,Negative
obstacle,Negative
obstinate,Negative
obstruct,Negative
obstruction,Negative
obtain,Positive
obtainable,Positive
odd,Negative
oddity,Negative
offend,Negative
offender,Negative
offensive,Negative
offer#1,Positive
offer#2,Positive
offer#3,Positive
offset,Positive
ominous,Negative
omission,Negative
omit,Negative
onset,Positive
onward,Positive
open#1,Positive
open#2,Positive
opinionated,Negative
opponent,Negative
opportune,Positive
opportunity,Positive
oppose#1,Negative
oppose#2,Negative
oppose#3,Negative
opposition,Negative
oppress,Negative
oppression,Negative
oppressive,Negative
optimal,Positive
optimism,Positive
optimistic,Positive
optional,Positive
ordeal,Negative
order#2,Positive
order#5,Positive
order#6,Positive
order#8,Negative
organize#1,Positive
organize#2,Positive
originality,Positive
orphan,Negative
ostracize,Negative
oust,Negative
outbreak,Negative
outburst,Negative
outcast,Negative
outcry,Negative
outgoing,Positive
outlaw,Negative
outlive,Positive
outrage,Negative
outrageous,Negative
outright,Positive
outrun,Positive
outset,Positive
outsider,Negative
outstanding,Positive
outwit,Positive
overbearing,Negative
overcome,Positive
overflow,Negative
overjoyed,Positive
overlook,Negative
overpower,Negative
overrun,Negative
oversight,Negative
overthrow,Negative
overturn,Negative
overwhelming,Negative
overworked,Negative
owe,Negative
pain,Negative
painful,Negative
painstaking,Positive
palatable,Positive
palatial,Positive
paltry,Negative
pamper,Positive
pandemonium,Negative
panic,Negative
paradise,Positive
paralysis,Negative
paralyzed,Negative
paramount,Positive
paranoid,Negative
parasite,Negative
pardon#1,Positive
pardon#2,Positive
particular#1,Positive
particular#2,Negative
partition,Negative
partner,Positive
partnership,Positive
pass#2,Positive
pass#8,Negative
pass#_10,Negative
pass#_13,Negative
passe,Negative
passionate,Positive
pathetic,Negative
patience,Positive
patient#2,Positive
patient#3,Positive
patriot,Positive
patriotic,Positive
patron,Positive
patronage,Positive
patronize,Negative
pay#4,Positive
peace#1,Positive
peace#2,Positive
peaceable,Positive
peaceful,Positive
peculiar,Negative
peerless,Positive
perfect#1,Positive
perfect#2,Positive
perfect#3,Positive
perfection,Positive
perfectionism,Positive
perfectionist,Positive
perfume,Positive
peril,Negative
perilous,Negative
perish,Negative
permission,Positive
permit#1,Positive
perplex,Negative
perplexity,Negative
persecute,Negative
persecution,Negative
perseverance,Positive
persevere,Positive
persuasive,Positive
pertinent,Positive
perturb,Negative
perverse,Negative
pervert,Negative
pessimism,Negative
pessimistic,Negative
pest,Negative
petty,Negative
phobia,Negative
pick#3,Negative
picturesque,Positive
piece#4,Negative
piety,Positive
pinch#1,Negative
pinch#2,Negative
pinnacle,Positive
pious,Positive
pitiful,Negative
pitiless,Negative
plague#1,Negative
plague#2,Negative
plain#1,Positive
plain#3,Positive
plain#4,Positive
plain#5,Positive
plaintiff,Negative
plausibility,Positive
playful,Positive
playmate,Positive
plaything,Positive
pleasant#1,Positive
pleasant#2,Positive
pleasantry,Positive
please#2,Positive
please#3,Positive
pleased#1,Positive
pleased#2,Positive
pleasurable,Positive
pleasure,Positive
pledge,Positive
plentiful,Positive
plenty,Positive
plight,Negative
plod,Negative
plot#2,Negative
poetic,Positive
poignant,Positive
point#6,Negative
pointless,Negative
poise#1,Positive
poison,Negative
poisonous,Negative
polish,Positive
polite,Positive
politeness,Positive
pollute,Negative
pollution,Negative
pomp,Positive
pompous,Negative
poor#1,Negative
poor#2,Negative
poor#3,Negative
poor#4,Negative
poor#5,Negative
poor#6,Negative
popular,Positive
popularity,Positive
populous,Positive
portable,Positive
positive,Positive
positiveness,Positive
positivity,Positive
posterity,Positive
potency,Positive
potent,Positive
pound#2,Negative
pout,Negative
poverty,Negative
powerless,Negative
practicable,Positive
practical#1,Positive
praise#1,Positive
praise#2,Positive
prance,Positive
precarious,Negative
precaution,Positive
precedent,Positive
precept,Positive
precious,Positive
precipitate,Negative
precise,Positive
precision,Positive
predicament,Negative
preeminent,Positive
preference,Positive
prejudice,Negative
prejudicial,Negative
premier,Positive
premise,Positive
premium,Positive
preparatory,Positive
preposterous,Negative
press#4,Negative
prestige,Positive
presumptuous,Negative
pretend,Negative
pretense,Negative
pretentious,Negative
prettily,Positive
pretty#2,Positive
pretty#3,Positive
pretty#4,Positive
pretty#5,Positive
priceless,Positive
pride,Positive
primarily,Positive
prime,Positive
principal#1,Positive
principle#1,Positive
principle#2,Positive
principle#4,Positive
prison#1,Negative
prison#2,Negative
prisoner,Negative
privacy,Positive
privileged,Positive
privy,Positive
prize,Positive
pro,Positive
proactive,Positive
problem,Negative
procrastinate,Negative
procrastination,Negative
prod,Negative
prodigious,Positive
prodigy,Positive
productive,Positive
productivity,Positive
profess,Positive
proffer,Positive
proficient,Positive
profit#1,Positive
profit#2,Positive
profitable,Positive
profound,Positive
progress#1,Positive
progress#2,Positive
progressive,Positive
prohibit,Negative
prohibition,Negative
prohibitive,Negative
prolific,Positive
prominence,Positive
prominent,Positive
promise#3,Positive
promise#4,Positive
prompt#1,Positive
prompt#2,Positive
promptly,Positive
propaganda,Negative
proper,Positive
propitious,Positive
proprietary,Positive
propriety,Positive
prosecute,Positive
prosecution,Negative
prosper,Positive
prosperity,Positive
prosperous,Positive
protect,Positive
protection,Positive
protective,Positive
protector,Positive
protest#1,Negative
protest#2,Negative
proud,Positive
provide#1,Positive
providence,Positive
provocation,Negative
provoke,Negative
prowess,Positive
prowl,Negative
prudence,Positive
prudent,Positive
pry,Negative
punch,Negative
punctual,Positive
punish,Negative
puny,Negative
pure,Positive
purification,Positive
purify,Positive
purity,Positive
purposeful,Positive
purr,Positive
push#1,Negative
push#2,Negative
push#3,Negative
puzzlement,Negative
quaint,Positive
qualify#1,Positive
qualify#3,Positive
quality#2,Positive
qualm,Negative
quandary,Negative
quarrel#1,Negative
quarrel#2,Negative
quarrelsome,Negative
queer,Negative
quench,Positive
questionable,Negative
quibble,Negative
quicken,Positive
quit,Negative
quitter,Negative
race#4,Negative
radiance,Positive
radiant,Positive
radiate,Positive
radical,Negative
rage,Negative
raid,Negative
raise#5,Negative
rally,Positive
ramble,Negative
rampant,Negative
rapport,Positive
rapt,Positive
rapture,Positive
rascal,Negative
rash,Negative
rat,Negative
ration,Negative
rational,Positive
rattle#2,Negative
ravage,Negative
rave,Positive
reactionary,Negative
reactive,Negative
readily,Positive
real#1,Positive
realistic,Positive
realistically,Positive
reap,Positive
reasonable,Positive
reassurance,Positive
reassure,Positive
rebel#1,Negative
rebel#2,Negative
rebellion,Negative
rebellious,Negative
rebuff,Negative
rebuke,Negative
rebut,Negative
recalcitrant,Negative
recede,Negative
receptive,Positive
recession,Negative
reckless,Negative
recklessness,Negative
reclaim,Positive
recline,Positive
recoil,Negative
recompense,Positive
reconcile,Positive
reconciliation,Positive
recreation,Positive
redeem,Positive
redemption,Positive
redundancy,Negative
redundant,Negative
reestablish,Positive
refine,Positive
refinement,Positive
refrain,Negative
refuge,Positive
refugee,Negative
refusal,Negative
refuse#1,Negative
regal,Positive
regard#3,Positive
regardless,Negative
regress,Negative
regression,Negative
regret#1,Negative
regret#2,Negative
regrettable,Negative
rehabilitation,Positive
reinforcement,Positive
reinstate,Positive
reject,Negative
rejection,Negative
rejoice,Positive
relapse,Negative
relaxation,Positive
relevance,Positive
relevancy,Positive
relevant,Positive
reliability,Positive
reliable,Positive
relief,Positive
relieve#3,Positive
religious#1,Positive
relish,Positive
reluctant,Negative
remarkable,Positive
remarkably,Positive
remedy,Positive
remodel,Positive
remorse,Negative
renaissance,Positive
renewal,Positive
renounce,Negative
renovate,Positive
renovation,Positive
renown,Positive
renunciation,Negative
repair#1,Positive
repair#2,Positive
reparation,Positive
repeal,Negative
repent,Positive
repentance,Positive
repose,Positive
reprehensible,Negative
repress,Negative
reproach,Negative
repudiate,Negative
repugnant,Negative
repulse,Negative
repulsive,Negative
reputable,Positive
rescue#1,Positive
rescue#2,Positive
resent,Negative
resentful,Negative
resentment,Negative
resignation,Negative
resolute,Positive
resolve#1,Positive
resolve#2,Positive
resolved,Positive
resound,Positive
resourceful,Positive
resourcefulness,Positive
respect#1,Positive
respect#2,Positive
respect#5,Positive
respectable,Positive
respectful,Positive
respite,Positive
resplendent,Positive
responsibility,Positive
responsible#1,Positive
responsive,Positive
restful,Positive
restless,Negative
restlessness,Negative
restoration,Positive
restore,Positive
restrict#1,Negative
restrict#2,Negative
restrict#3,Negative
restriction,Negative
resurrect,Positive
retaliate,Negative
retard,Negative
retire,Negative
retreat#1,Negative
retreat#2,Negative
return#2,Positive
return#5,Positive
reunion,Positive
reunite,Positive
revel,Positive
revelation,Positive
revenge,Negative
revere,Positive
reverence,Positive
reverent,Positive
reverently,Positive
revert,Negative
revitalize,Positive
revival,Positive
revive,Positive
revoke,Negative
revolt,Negative
revolution,Negative
reward#1,Positive
reward#2,Positive
reward#3,Positive
rich#1,Positive
rich#2,Positive
rich#3,Positive
rich#4,Positive
rich#5,Positive
rich#6,Positive
riches,Positive
richness,Positive
rid,Negative
ride#3,Negative
ridicule#1,Negative
ridicule#2,Negative
ridiculous,Negative
right#1,Positive
right#6,Positive
righteous,Positive
righteousness,Positive
rightful,Positive
rigid,Negative
rigor,Negative
rigorous,Negative
rip#1,Negative
rip#2,Negative
ripe,Positive
ripen,Positive
risky,Negative
rival#1,Negative
rival#2,Negative
rivalry,Negative
robber,Negative
robbery,Negative
robust,Positive
rogue,Negative
romance,Positive
romantic,Positive
romanticize,Positive
root#4,Negative
rosy,Positive
rot,Negative
rotten,Negative
rough#1,Negative
roughness,Negative
round#4,Positive
roundabout,Negative
rouse,Positive
rubbish,Negative
rude,Negative
rue,Negative
ruffian,Negative
ruin#1,Negative
ruin#2,Negative
ruin#3,Negative
ruin#4,Negative
ruinous,Negative
rumor,Negative
rumple,Negative
run#4,Negative
run#5,Negative
runaway,Negative
rupture#1,Negative
rupture#2,Negative
rusty,Negative
ruthless,Negative
ruthlessness,Negative
sabotage,Negative
sacred,Positive
sad,Negative
sadness,Negative
safe#1,Positive
safe#2,Positive
safe#3,Positive
safe#4,Positive
safeguard,Positive
safety#2,Positive
sag,Negative
sagacity,Positive
sage,Positive
saint,Positive
salutary,Positive
salutation,Positive
salute,Positive
salvation,Positive
sanctify,Positive
sanctuary,Positive
sane,Positive
sanguine,Positive
sanitary,Positive
sanity,Positive
sank,Negative
sap,Negative
sarcasm,Negative
sarcastic,Negative
satisfaction,Positive
satisfactorily,Positive
satisfactory,Positive
satisfy#1,Positive
satisfy#2,Positive
satisfy#3,Positive
